행정구역,남자,여자,평균
강원도 속초시 (4221000000),42.6,45.7,44.2
강원도 삼척시 (4223000000),44.5,48.6,46.5
강원도 홍천군 (4272000000),46.6,49.5,48
강원도 횡성군 (4273000000),48.4,51.5,49.9
강원도 영월군 (4275000000),48.1,51.9,49.9
강원도 평창군 (4276000000),48,51.1,49.5
강원도 정선군 (4277000000),47.8,51.2,49.4
강원도 철원군 (4278000000),42.2,47,44.5
강원도 화천군 (4279000000),42,46.9,44.3
강원도 양구군 (4280000000),41.2,45.5,43.3
강원도 인제군 (4281000000),42.5,46.3,44.2
강원도 고성군 (4282000000),46.5,52.3,49.2
강원도 양양군 (4283000000),48.3,52.3,50.3
충청북도  (4300000000),41.4,44.2,42.8
충청북도 청주시 (4311000000),38.7,41.1,39.9
충청북도 충주시 (4313000000),42.7,45.7,44.2
충청북도 제천시 (4315000000),43.8,46.5,45.2
충청북도 보은군 (4372000000),49.8,54.4,52.1
충청북도 옥천군 (4373000000),47.6,51.5,49.5
충청북도 영동군 (4374000000),47.9,52.2,50.1
충청북도 증평군 (4374500000),40.3,43.1,41.7
충청북도 진천군 (4375000000),41,43.7,42.3
충청북도 괴산군 (4376000000),51.1,55.2,53.1
충청북도 음성군 (4377000000),44,46.6,45.2
충청북도 단양군 (4380000000),48.9,52.8,50.9
충청남도  (4400000000),41.5,44.3,42.9
충청남도 천안시 (4413000000),37.6,39.1,38.3
충청남도 공주시 (4415000000),45.8,49.3,47.5
충청남도 보령시 (4418000000),45.2,49,47.1
충청남도 아산시 (4420000000),38.1,39.9,39
충청남도 서산시 (4421000000),41,44.1,42.5
충청남도 논산시 (4423000000),45.5,49.2,47.3
충청남도 계룡시 (4425000000),37.1,39.3,38.2
충청남도 당진시 (4427000000),41.2,43.8,42.4
충청남도 금산군 (4471000000),47.8,52,49.9
충청남도 부여군 (4476000000),49.1,53.9,51.5
충청남도 서천군 (4477000000),50,54.7,52.4
충청남도 청양군 (4479000000),49.9,54.5,52.2
충청남도 홍성군 (4480000000),43.6,47,45.3
충청남도 예산군 (4481000000),48.3,52.3,50.3
충청남도 태안군 (4482500000),47.8,52,49.8
전라북도  (4500000000),42.5,45.7,44.1
전라북도 전주시 (4511000000),39.3,41.7,40.5
전라북도 군산시 (4513000000),41.5,44,42.7
전라북도 익산시 (4514000000),41.7,44.7,43.2
전라북도 정읍시 (4518000000),45.4,49.9,47.7
전라북도 남원시 (4519000000),45.5,49.9,47.7
전라북도 김제시 (4521000000),47.6,52.4,50
전라북도 완주군 (4571000000),43.4,46.3,44.8
전라북도 진안군 (4572000000),49.7,54,51.8
전라북도 무주군 (4573000000),48.8,53.7,51.3
전라북도 장수군 (4574000000),48.6,53.6,51.1
전라북도 임실군 (4575000000),49.4,55.1,52.2
전라북도 순창군 (4577000000),48.1,53.1,50.7
전라북도 고창군 (4579000000),48,53.9,51
전라북도 부안군 (4580000000),48.1,53.3,50.7
전라남도  (4600000000),43.6,47.3,45.5
전라남도 목포시 (4611000000),39.9,42.5,41.2
전라남도 여수시 (4613000000),41.9,44.7,43.3
전라남도 순천시 (4615000000),39.9,42.6,41.3
전라남도 나주시 (4617000000),43.1,46.8,44.9
전라남도 광양시 (4623000000),39,41.1,40
전라남도 담양군 (4671000000),48.3,52.6,50.4
전라남도 곡성군 (4672000000),49.4,55,52.3
전라남도 구례군 (4673000000),48.9,54,51.5
전라남도 고흥군 (4677000000),51.8,57.7,54.9
전라남도 보성군 (4678000000),50.1,56,53.1
전라남도 화순군 (4679000000),45.2,49.4,47.3
전라남도 장흥군 (4680000000),48.3,54,51.2
전라남도 강진군 (4681000000),48.5,53.7,51.2
전라남도 해남군 (4682000000),47.7,52.2,50
전라남도 영암군 (4683000000),45,49.7,47.3
전라남도 무안군 (4684000000),42,45.3,43.7
전라남도 함평군 (4686000000),49.4,55.5,52.5
전라남도 영광군 (4687000000),46,50.8,48.4
전라남도 장성군 (4688000000),46.8,51.1,48.9
전라남도 완도군 (4689000000),47.5,52.7,50.1
전라남도 진도군 (4690000000),48.3,53.8,51.1
전라남도 신안군 (4691000000),50.2,56.3,53.1
경상북도  (4700000000),43,46.6,44.8
경상북도 포항시 (4711000000),41.3,44,42.6
경상북도 경주시 (4713000000),43.8,47.6,45.7
경상북도 김천시 (4715000000),43.4,47.5,45.5
경상북도 안동시 (4717000000),44.3,48.1,46.2
경상북도 구미시 (4719000000),36.7,38.5,37.6
경상북도 영주시 (4721000000),45.5,49.7,47.6
경상북도 영천시 (4723000000),46.8,51.2,49
경상북도 상주시 (4725000000),47.4,52.7,50.1
경상북도 문경시 (4728000000),46.9,52,49.5
경상북도 경산시 (4729000000),40.7,43.5,42.1
경상북도 군위군 (4772000000),53,58.3,55.6
경상북도 의성군 (4773000000),53.2,58.6,56
경상북도 청송군 (4775000000),51.4,56.3,53.9
경상북도 영양군 (4776000000),50.9,56.3,53.6
경상북도 영덕군 (4777000000),50.2,55.9,53.2
경상북도 청도군 (4782000000),51.6,56.7,54.2
경상북도 고령군 (4783000000),48.4,52.6,50.5
경상북도 성주군 (4784000000),49.3,53.8,51.5
경상북도 칠곡군 (4785000000),39.8,42.3,41
경상북도 예천군 (4790000000),47,51.7,49.4
경상북도 봉화군 (4792000000),50.9,55.5,53.2
경상북도 울진군 (4793000000),45.8,51.4,48.6
경상북도 울릉군 (4794000000),47.8,50.9,49.2
경상남도  (4800000000),40.9,43.9,42.4
경상남도 창원시 (4812000000),39.9,42.3,41.1
경상남도 진주시 (4817000000),40.1,43.6,41.9
경상남도 통영시 (4822000000),42.1,44.8,43.4
경상남도 사천시 (4824000000),42.4,46.7,44.5
경상남도 김해시 (4825000000),38.2,40,39.1
경상남도 밀양시 (4827000000),46.5,51.1,48.9
경상남도 거제시 (4831000000),37.3,38.7,38
경상남도 양산시 (4833000000),39,40.9,39.9
경상남도 의령군 (4872000000),50.2,56.6,53.5
경상남도 함안군 (4873000000),44.5,48.2,46.3
경상남도 창녕군 (4874000000),47.4,52.9,50.2
경상남도 고성군 (4882000000),47.4,52.4,49.9
경상남도 남해군 (4884000000),50.6,57.3,54.1
경상남도 하동군 (4885000000),49,54.8,52
경상남도 산청군 (4886000000),50.3,56,53.2
경상남도 함양군 (4887000000),48.5,54.1,51.4
경상남도 거창군 (4888000000),45.2,50.4,47.9
경상남도 합천군 (4889000000),51.2,57.8,54.7
제주특별자치도  (5000000000),40,42.5,41.2
제주특별자치도 제주시 (5011000000),39.1,41.6,40.3
제주특별자치도 서귀포시 (5013000000),42.3,45,43.6
